﻿Nom;Ville;Note Google;Nombre d'avis;Téléphone;Email;Site Web;Adresse;Code Postal;Place ID
Cabinet BR IMMOBILIER;Paris;4.8;190;01 40 15 92 25;contact@br-immo.fr;http://www.br-immo.fr/;"7 Av. de l'Opéra, 75001 Paris, France";75001;ChIJ91bxSiVu5kcR9uA9atcbO7s
Grand Paris Groupe - Leader de l'Immobilier Neuf et Rénové;Paris;4.9;263;01 40 08 08 08;contact@grandparis.com;http://www.grandparis.com/;"72 Rue de Longchamp, 75116 Paris, France";75116;ChIJe5EWOslv5kcRtNiZ4iw-FJI
Abriculteurs;Paris;4.9;187;09 71 00 58 38;bonjour@abriculteurs.com;https://www.abriculteurs.com/;"12 Rue des Halles, 75001 Paris, France";75001;ChIJE78YGB9u5kcRxOkpaCiI7FE
Benoît Foucher - Conseiller immobilier Paris - Expertimo;Paris;4.9;251;06 13 55 57 32;benoit.foucher@expertimo.com;https://www.reseau-expertimo.fr/1857-mandataire/1;"8 Bd de Bonne Nouvelle, 75010 Paris, France";75010;ChIJdXEfRxFu5kcRLASkM2zITsc
Agence immobilière Paris 15;Paris;5;76;06 14 55 50 30;contact@agenceimmobiliereparis15.fr;https://www.agenceimmobiliereparis15.fr/;"52 Av. Félix Faure, 75015 Paris, France";75015;ChIJp21Qig1w5kcRvG_f-vC0ZY0
IMMOBILIER DE PARIS;Paris;4.9;115;01 77 32 81 21;agence.immobilier.de.paris@gmail.com;http://agence-immobilierdeparis.com/;"23 R. des Petites Écuries, 75010 Paris, France";75010;ChIJgbawgRNu5kcR_Q-LEuck23c
AGENCE IMMOBILIÈRE Paris 15 FREDēLION;Paris;4.9;480;01 82 83 40 00;saint-charles@fredelion.com;https://paris-15-saint-charles.fredelion.com/fr;"127 Rue St Charles, 75015 Paris, France";75015;ChIJAQDQww5w5kcRy_w0VCngxPI
Cibles & Associés Immobilier Paris;Paris;5;105;06 13 50 42 51;c.mathon@ciblesassocies.com;https://ciblesassocies.fr/;"27 Rue de la Lune, 75002 Paris, France";75002;ChIJK1bAbKtv5kcRgteSbDxQyp0
Agence Le Réseau;Paris;5;102;06 13 27 63 01;welcome@agencelereseau.com;https://www.agencelereseau.com/;"78 Av. des Champs-Élysées, 75008 Paris, France";75008;ChIJJwa2k8lv5kcRA3I6qZhxSLs
PropriLib - L'agence immobilière en ligne à prix fixe;Paris;4.9;98;01 88 32 76 97;adresse@gmail.com;https://proprilib.fr/;"10 Rue de Penthièvre, 75008 Paris, France";75008;ChIJjTK6S7tv5kcRD61wWFxAJMM
