Nom;Ville;Note Google;Nombre d'avis;Téléphone;Email;Site Web;Adresse;Code Postal;Place ID
Clim+ Lille : Climatisation - Ventilation - Chauffage;Lille;"4,1";30;03 20 37 42 17;LILLE@CLIMPLUS.FR;https://www.climplus.com/infos-agence/fretin-clim-4145;"2 Rue du Fort, 59273 Fretin";59273;0x47c2d59891e73731:0x411cfa16aa67b566
National Froid Entreprise Climatisation Paris ile de France Société;Paris;"4,4";320;01 57 42 49 74;nationalfroid@gmail.com;https://www.entreprise-de-climatisation.fr/;"221 Rue La Fayette, 75010 Paris";75010;0x47e66cfd8810ccd7:0xad23e4abe5eb3e89
Climatisation Ventilation Chauffage Clim Réversible installation Climatiseur Paris IDF Service GNF;Paris;"4,4";20;01 57 42 26 42;nationalfroid@gmail.com;https://installationclimatiseur.fr/;"221 Rue La Fayette, 75010 Paris";75010;0x47e66e76909c0001:0xf5d58fb23d982a02
FROIDCLIM ⚠️ Nous ne faisons pas les climatiseurs mobiles ⚠️;Paris;"4,7";79;01 71 50 43 87;froidclim.dk@gmail.com;http://www.climatisation-paris.net/;"76 Rue Lecourbe, 75015 Paris";75015;0x47e671c44bd4dcd5:0x9d38b0e05bce67b9
Climcozy Paris;Paris;"4,9";59;09 72 14 64 15;climcozy@gmail.com;http://clim-cozy.fr/;"6 Bd de Bonne Nouvelle, 75010 Paris";75010;0x83d7a7f78b0621ff:0xcb4c64fdd46220ef
KLIMAT;Paris;"4,6";41;01 85 53 71 30;Klimat91310@gmail.com;http://www.climatisation-75.fr/;"38 Av. Villemain, 75014 Paris";75014;0x47e6704c7fc53f77:0x457314fe6ff06c98
CLIMIZ;Paris;"4,9";156;07 49 82 59 24;contact@climiz.fr;http://www.climiz.fr/;"109 Bd Richard-Lenoir, 75011 Paris";75011;0x47e66d8b7b13e393:0xeb377d7d73161074
Clim Denfert Bourquin;Paris;"4,2";88;01 46 34 25 25;contact@climdenfert.com;http://www.climdenfert.com/;"9 Rue Yvon Villarceau, 75116 Paris";75116;0x47e67ac95555556b:0x88c7a698add87a1d
DG Climatisation;Paris;"4,9";57;06 52 10 84 64;contact@dgclimatisation.fr;http://www.dgclimatisation.fr/;"19 Rue de la Tremoille, 75008 Paris";75008;0x47e66e1f4f01b061:0xadaf33bfee74f6b7
Climloc - Location de climatiseurs en 2h;Paris;"4,2";25;01 59 13 39 64;contact@climloc.fr;https://climloc.fr/;"58 Rue de Monceau, 75008 Paris";75008;0x47e66f90b6fb6309:0xbe1f25fc0f8dc9db
Domotec;Paris;"4,8";268;01 48 05 44 63;info@domotec-clim.com;http://www.domotec.paris/;"15 Pass. Sainte-Anne Popincourt, 75011 Paris";75011;0x47e66dfee4500001:0x9c17b23f80ea3f2c
Groupe ENDF Climatisation;Paris;"4,5";61;01 41 70 17 22;info@endf-climatisation.fr;https://endf-climatisation.fr/;"46 Rue Orfila, 75020 Paris";75020;0x47e66df0cd44a74d:0x2438b1fc162d1c05
CLIM PARIS SERVICES 26;Paris;"5,0";15;06 03 99 29 97;contact@climparis.com;http://climparis.com/;"10 Rue des Refugniks, 94000 Créteil";94000;0x47e60b967f6b25a1:0x4ca4e11dfa783dfe
Climatisation Paris - CLIMAFROID;Paris;"5,0";15;06 65 20 12 66;contact@climatisation-paris-idf.fr;https://www.climatisation-paris-idf.fr/;;;0x693e33f8f222cb51:0x9955eaeb4bbe17e6
"BOREALCLIM - Installation maintenance et réparation climatisation, chauffage 77 - Paris";Paris;"4,8";70;06 99 45 21 13;borealclim@gmail.com;https://www.borealclim.fr/;"50 Rue Cornillon, 77100 Meaux";77100;0x47e8a1a3692fa939:0x346806d9ebcc5770
Climadane - Climatisation Paris;Paris;"4,4";29;01 48 07 19 19;contact@climadane.fr;http://www.climadane.fr/;"98 Bd Beaumarchais, 75011 Paris";75011;0x47f991a3dd105ff7:0xb34a1998a3c96a84
CLIMETUDE;Paris;"5,0";12;01 34 02 23 63;climetude@orange.fr;https://climetude.fr/;"183-189 Av. de Choisy, 75013 Paris";75013;0x47e671cc8ebfc829:0x34799d1bb4825c96
ClimTem;Paris;"5,0";24;07 45 25 74 58;climtem75@gmail.com;https://climtem.com/;"5 Cité Germain-Pilon, 75018 Paris";75018;0xc432a46d1ad6c0f:0x7403b5f0660ed240
installateur clim chauffage GNF;Paris;"4,1";30;01 86 65 87 03;contact@installateurclimatisation.fr;https://www.installateurclimatisation.fr/;"196 Av. Jean Lolive, 93500 Pantin";93500;0x47e66d0264433a23:0xeb336be1f859ec96
Clim Denfert Service;Paris;"4,9";121;01 48 26 84 74;contact@climdenfert.com;http://www.climdenfert.com/;"17 Rue du Bois Moussay, 93240 Stains";93240;0x47e6695e07876dff:0x8c09b986b439d303
Climatisation Marseille ms services;Marseille;"5,0";495;06 29 34 34 53;contact@ms-services-climatisations.fr;https://ms-services-climatisations.fr/;"151 bd Paul Claudel Res, Parc Claudel bat À, 13010 Marseille";13010;0x12c9b9f7510bf571:0x201381d37976eb75
CLIMAT 26;Marseille;"4,9";576;06 03 99 29 97;contact@climat26.fr;https://www.climat26.fr/;"29 Rue Berlioz, 13006 Marseille";13006;0x12c9c0a887e75e61:0xba209890f879f04b
FISACLIM;Marseille;"5,0";161;07 67 62 05 13;echoukri16@gmail.com;https://www.fisaclim.net/;"123 Trav. Parangon, 13008 Marseille";13008;0x12c9c7b5071ed0fb:0x5e59a982b9f7413d
Côté Climat Marseille;Marseille;"5,0";46;06 27 22 17 87;contact@cote-climat.fr;http://cote-climat.fr/;"22 Bd Charles Moretti, 13014 Marseille";13014;0x12c9c1996c580049:0x8861f4c8c19cf9bd
Start Electrique Climatisation;Marseille;"5,0";197;06 78 37 33 32;contact@start-electrique.fr;https://www.start-electrique.fr/;"3 Pl. de la Rotonde, 13014 Marseille";13014;0x12c9c190c4096b47:0x43f9ad5dd8614314
Génération Confort;Marseille;"4,8";318;04 91 66 13 31;contact@generationconfort.pro;https://www.generationconfort.pro/;"6 Bis Imp. Tontini, 13012 Marseille";13012;0x12c9bfa8d455ac83:0x9fb97f9ea28034e5
Vitale Climat Marseille;Marseille;"5,0";248;04 42 73 22 72;contact@vitaleclimat.com;http://www.vitaleclimat.com/;"8 Av. des Goumiers, 13008 Marseille";13008;0x12c9c77376bcb461:0x1dceac16d737b33d
Sofrat;Marseille;"4,9";279;04 91 34 01 11;contact@climatisation-sofrat.com;https://www.climatisation-sofrat.fr/;"142 Bd Françoise Duparc, 13004 Marseille";13004;0x12c9bf7ac851d34f:0x1f554428cc0bc038
S.E.M.S ( Frigoriste & Climatisation Marseille );Marseille;"4,9";75;04 91 42 00 08;contact@sems-froid.fr;http://www.sems-marseille.com/;"266 Bd Mireille Lauze, 13010 Marseille";13010;0x12c9bf4450c03e11:0x3c0b6a56c7b54a4f
Clim Marseille services;Marseille;"5,0";21;04 91 63 13 42;climmarseillepro@gmail.com;https://www.climmarseille.com/;;;0x12c9c1f686a09f17:0x22e9aeee2cc4ff68
MT CLIM;Marseille;"5,0";226;06 04 52 07 37;contact@mt-clim-marseille.fr;https://mt-clim-marseille.fr/;"22 Rte de la Treille, 13011 Marseille";13011;0x12c9bdfff337fc47:0x839ef45fff39d9e8
Arthur Froid;Marseille;"4,9";106;04 91 08 74 09;arthur-froid@hotmail.com;https://arthurfroid.fr/?utm_source=gbp;"23 Av. de Saint-Just, 13004 Marseille";13004;0x12c9bf7986cceda1:0xfc92c234883eb39f
