Nom;Ville;Note Google;Nombre d'avis;Téléphone;Email;Site Web;Adresse;Code Postal;Place ID
Le bon couvreur : Artisan couvreur charpentier à Lille;Lille;"4,5";66;06 17 18 36 47;contact@le-bon-couvreur.fr;https://le-bon-couvreur.fr/;" 38 Bd Carnot bureau 3, 59000 Lille";59000;0x47c32b1cd162c0bf:0x3c21ca447eca94c8
Remy Etanchéité 59 COUVREUR - Lille;Lille;"4,9";63;06 63 69 03 53;remy.etancheite59@gmail.com;https://remy-etancheite59.fr/;" 67 Pl. Rihour, 59800 Lille";59800;0x47c2d505acef8343:0x902bb016998db869
ABL TOITURE;Lille;"5,0";30;07 78 70 32 21;abl.toiture27@gmail.com;https://abl-toiture.fr/;" 229 Rue Solférino, 59000 Lille";59000;0x47c2d5000f4330bb:0x8a3e41f2c5b17ba2
TR COUVERTURE DU NORD COUVREUR LILLE;Lille;"4,6";78;06 31 66 46 56;trcouverturedunord59@gmail.com;http://trcouverturedunord.fr/;" 31 Av. du Peuple Belge, 59800 Lille";59800;0x47c2d56ee40f6845:0x5f58a79eb3dfbf0d
𝗗𝘂𝗽𝗼𝗻𝘁 𝗖𝗼𝘂𝘃𝗲𝗿𝘁𝘂𝗿𝗲 𝗠𝗲𝘁𝗿𝗼𝗽𝗼𝗹𝗲 𝗟𝗶𝗹𝗹𝗼𝗶𝘀𝗲;Lille;"4,8";66;03 59 56 16 06;dupontcouverturelille@gmail.com;https://dupontcouverturelille.com/;" 14 Rue Vieux Faubourg, 59800 Lille";59800;0x47c2d575840a7133:0x354eefc72362fce9
Couvreur Zingueur Hadoux - Urgence réparation fuite - Rénovation toiture - Étanchéité Lille 59;Lille;"5,0";86;07 49 87 76 58;wilson.hadoux@gmail.com;https://wh-couverture.fr/;" 34 Pl. du Général de Gaulle, 59800 Lille";59800;0x82d48523dd5dd42d:0xee38df466596de3b
Garette Toitures - Couverture - Lille - Lomme - Lambersart;Lille;"4,8";40;06 42 30 09 24;dylan.henneville.h.d@gmail.com;http://hd-couvreur-zingueur.fr/?utm_source=gmb;" 229 Rue Solférino, 59000 Lille";59000;0x47c2d5b622228519:0x606816abf83a4edb
WM Couvreur Zingueur;Lille;"4,7";63;06 85 88 10 12;mikewinterstein7@gmail.com;https://www.wm-couvreur-zingueur.fr/;" 104 Rue Nationale, 59800 Lille";59800;0x47c2d572df53ce3d:0x8a02fe21e740a121
"La Couverture Française, couvreur Lille, zinguerie, réparation";Lille;"5,0";17;06 89 90 28 70;lacouverturefrancaise@gmail.com;https://couverturefrancaise.fr/;" 55 Rue de Luxembourg, 59800 Lille";59800;0x47c32b3e14794613:0x47bbc2339925f8ff
Toiture Solide;Lille;"5,0";49;07 84 72 98 24;info@toituresolide.fr;https://toituresolide.fr/;;;0x4820aa0cb8dafc45:0x4d26c0f23ab22659
HJ Couverture - Façades - Nettoyage terrasse - Démoussage;Lille;"5,0";30;06 67 51 54 26;contact@hjcouverture.fr;https://hjcouverture.fr/;" 229 Rue Solférino, 59000 Lille";59000;0x47c2d578edf05bcb:0x63804ad9ce982964
Gino Pagnerre Couverture | Couvreur Lille;Lille;"4,8";11;07 69 08 54 31;Contact@spark-agence.com;https://www.gino-couvreur.fr/;" 72 Av. de la République, 59160 Lille";59160;0x47c2d576266a07c7:0x9590e9d920b7fa6c
