Nom;Ville;Note Google;Nombre d'avis;Téléphone;Email;Site Web;Adresse;Code Postal;Place ID
"Tesselect, Artisan électricien Lille";Lille;"4,9";58;06 81 46 30 41;contact@pierrehenripoiret.com;http://tesselect.fr/;"110 Av. du Peuple Belge, 59000 Lille";59000;0x47c32b0d39561163:0xaf0114c42538d65c
Mon Atelier Electrique;Lille;"5,0";95;07 78 86 05 44;contact@monatelierelectrique.fr;http://www.monatelierelectrique.fr/;"229 Rue Solférino, 59000 Lille";59000;0x54f5f04bdd25cbb:0x5d76143e7619573e
Deleplanque;Lille;"4,7";156;03 20 60 18 76;contact.deleplanque59@gmail.com;https://www.electricite-deleplanque.fr/?utm_source=gmb;"21 Rue de Valenciennes, 59000 Lille";59000;0x47c2d594b29eaccf:0x9e5849e7cd845077
Electravaux75 Electricien paris 16;Paris;"4,9";86;06 35 59 83 22;pradere.jerome@sfr.fr;https://electravaux-75.fr/;"19 Bis Rue de Boulainvilliers, 75016 Paris";75016;0x47e67bc9a13075c1:0x971f4bb4351148c7
Electerne;Paris;"5,0";33;01 47 70 34 46;Info@company.com;https://www.electerne.paris/;"73 Av. des Ternes, 75017 Paris";75017;0x47e66f11619c28b5:0xb167aea12a0e1df1
Addisson Electricité;Paris;"4,8";94;01 43 29 00 29;contact@addisson-electricite.com;http://addisson-electricite.com/;"9 Rue Laplace, 75005 Paris";75005;0x47e671e638eeb951:0x10e9b00c79e3b9c5
EB ELEC;Paris;"5,0";86;06 29 40 24 94;contact@eb-elec.fr;http://www.eb-elec.fr/;"47 Rue de la Convention, 75015 Paris";75015;0x47e66df9e8e66a8b:0x9478bd50474f8c8a
Bernard Electricien Paris 9;Paris;"5,0";12;01 84 20 49 58;contact@electricienparis9-bernard.fr;https://electricienparis9-bernard.fr/;"24 Rue de Clichy, 75009 Paris";75009;0x47e66fca6a641331:0x830f3d60b0d19c43
Generelec;Paris;"5,0";23;07 44 42 77 72;contact@generelec.fr;https://www.generelec.fr/;;;0x82e342250c128d93:0x96cc27838fddbed5
L'électricienne;Paris;"4,9";31;07 60 90 18 40;sylvie@lelectricienne.fr;https://lelectricienne.fr/;"76 Bd Barbès, 75018 Paris";75018;0x47e66e6f70951365:0xd7e5e365413fa496
Gilelec;Paris;"4,3";88;01 47 70 21 31;gilelec@gmail.com;http://www.gilelec.fr/;"18 Rue Bleue, 75009 Paris";75009;0x47e66e3ffc2e653d:0x9bc5144991043a5f
ADK Electricité;Paris;"4,9";56;06 99 53 25 89;adk.elec@free.fr;http://www.adk-electricien.fr/;"108 Rue Nationale, 75013 Paris";75013;0x47e67370e448adf7:0xf4f35f6d145b9bea
Gilles et Fils Electricité;Paris;"4,8";51;01 46 28 67 47;bureau@etsgilles.fr;http://www.etsgilles.fr/;"120 Rue de Charenton, 75012 Paris";75012;0x47e6720f934f00f7:0xd6bbce943ab835ac
Artisan Électricien Folliot;Paris;"4,9";24;06 82 84 30 46;folliotaef@orange.fr;https://artisanelectricienfolliot.com/;;;0x47e671626ad20d9f:0x2cf79144efedd4be
IEE Services;Paris;"5,0";64;06 66 36 51 43;info@superdepanneurs.com;https://www.superdepanneurs.fr/?utm_source=gmb;"98 Rue de la Roquette, 75011 Paris";75011;0x47e66df810d00001:0x9a456591d59b2f75
Domos Energie (Électricien);Paris;"4,9";95;06 18 09 29 62;cjonville@domos-energie.com;http://domos-energie.com/;"29 Rue du Simplon, 75018 Paris";75018;0x47e66e6058efba8d:0x21e20f8e417e3a61
A+M ÉLECTRICITÉ DÉPANNAGE;Paris;"5,0";14;06 59 90 11 17;contact@am-electricite-paris.fr;https://www.am-electricite-paris.fr/;"62 Rue de Rome, 75008 Paris";75008;0x422c9dcce97417f3:0x604448526bc8bc3d
Straet et Fils;Paris;"4,9";28;01 42 73 38 15;straetetfils@gmail.com;http://electricien-paris15-straet.fr/;"8 Rue Robert Fleury, 75015 Paris";75015;0x47e6703c4e16abd3:0x43296beec3e730d
perfelec - électricien Paris;Paris;"4,6";27;07 67 97 47 45;contact@perfelec.fr;http://www.perfelec.fr/;"5 Av. Mozart, 75016 Paris";75016;0xa0675b28f3a70763:0x4fbb12c32d3ff2cd
LM Électricien Marseille;Marseille;"4,9";97;06 16 46 37 47;lm.electricien13@gmail.com;https://www.lmelectricienmarseille.fr/;"27 Rue d'Eguison, 13010 Marseille";13010;0x12c9bf99b6fdfb5b:0xfafbf3c033d4d910
L'Artisan du 13;Marseille;"5,0";96;06 26 65 77 14;lartisandu13@gmail.com;https://lartisandu13.fr/;"2 Bd du Midi, 13011 Marseille";13011;0x12c9bf5877a5b92b:0x92060a26e49c269a
Électricité Deux frères(Électricien dépannage & installation);Marseille;"4,9";52;07 53 33 64 77;Elecdeuxfreres@gmail.com;https://www.electricienamarseille.fr/;;;0x40b844fed875b699:0xb08f61530c120d75
DK Elec - Électricien à Marseille 13008;Marseille;"4,9";51;06 64 32 14 90;kszk.elec@gmail.com;https://dkelec.fr/;"La Daurade 3, 4 Bd de la Verrerie, 13008 Marseille";13008;0x12c9c7bb391124cf:0x753a47124fced78c
Roubaud Electricité;Marseille;"4,8";37;06 16 54 11 23;roubaud.electricite@gmail.com;http://www.roubaud-electricite.com/;"44 Trav. du Maroc, 13012 Marseille";13012;0x12c9c0bbf4ea1635:0x2bdaaf567056d508
Renovax-M;Marseille;"5,0";123;06 51 51 95 27;renovaxm@gmail.com;http://sites.google.com/view/renovax-m/accueil;;;0x6bfc4d5c768a8d6d:0x953a2d83c57e755d
Electrotech;Marseille;"5,0";583;04 91 87 11 08;contact@electrotech13.fr;https://electrotech-sud.fr/;"58 Trav. des Marronniers, 13012 Marseille";13012;0x12c9be83ada77d65:0x1392d9e8f02d1b51
olivier depan'elec et conseil;Marseille;"5,0";33;07 61 78 51 08;olivier.elec13@gmail.com;https://www.depanelec.fr/;"19 Rue de l'Église Saint-Michel, 13005 Marseille";13005;0x12c9c18bba447a27:0xa4a1b625c6012099
Elec3city;Marseille;"4,8";25;04 84 25 58 11;contact@elec3city.fr;https://elec3city.fr/;"10b Rue Alphonse Tavan, 13009 Marseille";13009;0x12c9b8fc9d411151:0xe98fdbd313e645ea
Volta 13 — Électricien Marseille 13003;Marseille;"5,0";10;07 80 16 77 39;rabiatarekpro13@gmail.com;http://www.volta-13.fr/;"214 Bd National, 13003 Marseille";13003;0x12c9c1196f23f4af:0x4a4a37e575d5ce5a
Comeau Electricité;Marseille;"4,8";27;06 13 16 02 96;ced.com690@gmail.com;https://cedcom690.wixsite.com/comelecmarseille;"12 Rue Buffon, 13004 Marseille";13004;0x12c9bf6187ca44bd:0x47ee02ffe68ba924
TLC ELECTRICITE;Marseille;"4,7";20;06 09 20 24 58;contact@tlcelectricite.fr;http://www.tlcelectricite.fr/;"36 Bd Marius Richard, 13012 Marseille";13012;0x12c9bf0812c32ff9:0x3a516e68fd87448a
BRICEÉLEC;Marseille;"5,0";56;06 67 83 01 51;contact@briceelec.fr;https://briceelec.fr/;"170 Trav. de la Penne, 13011 Marseille";13011;0x12c9bda6ad455e77:0xd64e3744ff6b0353
Avitec Électricité;Marseille;"4,8";28;04 91 35 47 66;devis@avitec-electricite.com;http://avitec-electricite.com/;"15 Bd Fifi Turin, 13010 Marseille";13010;0x12c9bf0195dc0001:0x3c8eba2b3ed6beaf
Elecservice;Marseille;"4,2";27;07 64 24 55 24;elecservice13@gmail.com;https://elecservice13.fr/;"19 Imp. de Roux, 13004 Marseille";13004;0x12c9bf38d7a8dd2d:0x5b79cbc008bba462
RK-ELEC | Électricité ~ Climatisation;Marseille;"5,0";52;06 99 63 31 69;rkproelec@gmail.com;https://artisaneo.fr/rk-elec;"79 Rue de la Maurelle, 13013 Marseille";13013;0x2a388ab7c9edd9b7:0x55cbb1f1f57390be
Longuet Electricité & climatisation SAS;Marseille;"4,5";12;06 09 52 92 63;longuet.electricite@orange.fr;http://www.longuet-electricite.fr/;"22 Bd Charles Moretti, 13014 Marseille";13014;0x12c9c048e948ec9b:0x3d10481a4531297c
ABETEC Solution;Marseille;"5,0";23;06 56 74 85 85;contact@abetec-solution.fr;https://abetec-solution.fr/;"211 Chem. de la Madrague-Ville Ennea, 13015 Marseille";13015;0x12c9c1c6177df42b:0x1b4cdf8755274174
Amantis électricien;Marseille;"5,0";20;07 82 27 63 13;btpamantis@gmail.com;https://btpamantis.fr/;"29 Rue du Vallon Montebello, 13006 Marseille";13006;0x12c9bf79e5e03aed:0x298253d3275ed907
Provence électrique conseil - depannage marseille;Marseille;"4,9";88;04 83 43 28 38;contact@provence-electrique.fr;https://www.provence-electrique.fr/;;;0x12c9c0a1e7024077:0x376f469da718bd3a
VA Electricité Electricien Lyon;Lyon;"4,9";87;07 66 59 11 14;VA.elec@gmail.com;https://electricien-electricite.com/;"39 rue Chalopin, 40 Rue du Rhône, 69007 Lyon";69007;0x47f4eb17df2a27d5:0x5fde2004f2e60573
"HAIZE Elec | Electricien | Lyon, Tassin, Monts D'Or, Villeurbanne";Lyon;"5,0";27;07 70 03 99 32;camille@haize-elec.fr;https://haize-elec.fr/;"8 Rue de la Garenne, 69005 Lyon";69005;0x70cf2108483a487:0xc9d617f1f375ee27
