Nom;Ville;Note Google;Nombre d'avis;Téléphone;Email;Site Web;Adresse;Code Postal;Place ID
AB évènementiel - Agence d'événementiel - Animateur - DJ professionnel - Lille Métropole;Lille;"4,9";220;06 50 12 71 82;contact@abevenementiel.com;http://www.abevenementiel.com/;"16 Rue du Général Leclerc, 59126 Linselles";59126;0x47c32c688d1fec6b:0xc47f5e0fc9cb6153
D Day Wedding Planner Lille et Hauts de France;Lille;"4,9";50;06 03 87 81 70;elodie@organisation-dday.com;https://organisation-dday.com/wedding-planner/lille-hauts-de-france/;"44 Rue de l'Ermitage, 59700 Marcq-en-Barœul";59700;0x47c32b28d0314dcd:0xa64e563c16805afb
JLB Prod - Agence Événementielle Musicale Lille et Paris;Lille;"4,9";46;06 64 70 69 16;contact@jlbprod.com;https://jlbprod.com/;"MDA, 27 Rue Jean Bart, 59000 Lille";59000;0x47c32b85eea0c9cf:0x957e3622d7f85fde
Suzette et Simone | Wedding & Event Planner Lille;Lille;"5,0";21;06 08 31 66 99;mpaget@suzetteetsimone.com;https://www.suzetteetsimone.com/;"970 Av. de la République, 59700 Marcq-en-Barœul";59700;0x47c32b0eea00c087:0x97d278e85d05ce20
La Lilloise Evènementiel;Lille;"5,0";31;07 67 94 51 09;lalilloiseevenementiel@gmail.com;https://www.lalilloiseevent.com/;"42 Rue Emile Zola, 59320 Hallennes-lez-Haubourdin";59320;0x6d6ea181f36187d5:0xd363e885b835e2b0
Dams Event - DJ Paris;Paris;"5,0";706;01 88 31 50 50;contact@dams-event.fr;https://dams-event.fr/;"149 Av. du Maine, 75014 Paris";75014;0x47e67198520aa4dd:0xab854762e37b7b3f
Paris Groove - Orchestre Mariage - Evénementiel - Bar Mitzvah - Mariage Juif;Paris;"5,0";98;07 87 20 27 45;contact@parisgroove.com;https://www.parisgroove.fr/;"64 Chau. de l'Étang, 94160 Saint-Mandé";94160;0x47e66e1b181387f3:0x6ef102b3d560bfb0
Hayden Events;Paris;"5,0";43;07 84 16 17 18;%20contact@hayden-events.fr;https://hayden-events.fr/;"10 Rue de Penthièvre, 75008 Paris";75008;0x47e66fc941dcd9c9:0xc0be302de2a97976
Dj Paris Event;Paris;"5,0";21;06 76 15 50 21;contact@djaparis.com;https://djaparis.com/;"26 Rue de la Révolution, 94200 Ivry-sur-Seine";94200;0x47e6735a46032603:0x3106d23a44a68f25
Mariage dans l'Air;Paris;"4,8";132;06 86 74 87 18;contact@mariagedanslair.fr;http://www.mariagedanslair.fr/;"102 Av. des Champs-Élysées, 75008 Paris";75008;0x47e66fc22229ea9d:0x68fb80277fc8fdba
Inji Events - Agence Événementielle;Paris;"5,0";54;06 61 33 83 13;nico@inji-events.com;https://www.inji-events.com/;"14 Rue Gaston Bonnier, 92600 Asnières-sur-Seine";92600;0x47e665f77029a205:0x3a79766bb7a82ffb
eavents;Paris;"5,0";58;06 32 85 95 05;contact@eavents.com;http://www.eavents.com/;"16 Rue d'Armaillé, 75017 Paris";75017;0x47e66f92cf6cda2b:0x62ce39e032238205
PLANÈTE EVENT PARIS - Nos Artistes pour Vos Événements;Paris;"5,0";62;06 89 43 67 83;contact@planete-event.com;https://www.planete-event.com/;"5 Pl. Gambetta, 75020 Paris";75020;0x47e66d9d9b0e5abb:0xd37a707d3a8e83e3
