Nom;Ville;Note Google;Nombre d'avis;Téléphone;Email;Site Web;Adresse;Code Postal;Place ID
Kidjal Construction;Lille;"4,9";23;06 99 22 04 88;contact@kidjal.fr;https://www.kidjal.fr/;"679 Av. de la République, 59800 Lille";59800;0x47c32fccc01eceb9:0x11b810c986965154
XLBatiment - Construction et Rénovation Taille XL;Lille;"4,8";30;06 80 47 25 37;contact@xlbatiment.fr;https://www.xlbatiment.fr/;"679 Av. de la République, 59800 Lille";59800;0x47c32f19dd35d4d7:0xe47d55264967bf2e
Maçonnerie - TERA BAT;Paris;"5,0";39;06 75 96 87 73;terabat94@gmail.com;https://www.terabat.fr/;"49-51 Rue de Ponthieu, 75008 Paris";75008;0x47e673b48e4faf29:0x8f1943c5be45d05d
TD RENOVATION PARIS | Rénovation appartement Paris | salle de bain | cuisine | maçonnerie;Paris;"4,8";196;01 44 78 05 18;contact.tdrenovation@gmail.com;https://tdrenovationparis.fr/;"40 Rue des Blancs Manteaux, 75004 Paris";75004;0x47e66fe6601e367b:0x613c25f0b7a518b8
MR Bâtiment - Société de rénovation à Paris - Ile de france - Peinture - Plomberie - Maçonnerie;Paris;"5,0";32;01 84 80 75 90;contact@mrbatiment.com;http://www.mrbatiment.com/;"82 Rue du Landy, 93200 Saint-Denis";93200;0x68dbeb6ded243d87:0xdf7d371303f8daa3
SRK Groupe Rénovation construction tous corps d’état à Paris et en Ile-de-France;Paris;"4,9";323;09 74 30 90 34;srk@srkgroupe-france.com;https://srkgroupe-renovation.com/;"59 Rue de Ponthieu, 75008 Paris";75008;0x47e66fe60c801181:0xcd9f9216de99347b
Entreprise Tavares;Paris;"4,8";17;01 39 78 38 29;jorgetavares@orange.fr;http://www.entreprise-du-batiment-paris.fr/?utm_source=gmb;"26 Rue Damrémont, 75018 Paris";75018;0x47e66f9506cbd8fb:0x38eba5815ca5bb02
Emap Bâtiment;Paris;"5,0";15;07 66 27 85 90;contact@emap-france.fr;https://emap-france.fr/;"19/21 Rue Claude Tillier, 75012 Paris";75012;0x47e6739ab1793777:0xbec4031bcabb2842
WS BATIMENT;Paris;"5,0";31;07 66 86 11 72;contact@wsbatiment.com;http://www.wsbatiment.com/;"60 Rue François 1er, 75008 Paris";75008;0x47e671a3075d79b1:0xcb3c02739ca69e82
TLC Construction & Renovation;Paris;"4,9";116;01 45 91 06 15;contact@tlc-corenov.fr;https://www.tlc-corenov.fr/;"42 Rue Monge, 75005 Paris";75005;0x47e614abcaf4cabf:0xd62582d074527a77
Thomas Isolation et Construction;Paris;"4,7";75;07 81 69 69 29;contact@thomasconstruction.fr;https://thomasconstruction.fr/;"22 Av. de Saint-Ouen, 75018 Paris";75018;0x47e68bf4d4d3027f:0xb04498e60fefcdc8
Entreprise Générale du Batiment;Paris;"4,9";75;06 65 29 67 60;egb.devis.travaux@gmail.com;https://www.entreprise-france-batiment.com/contact?utm_source=gmb;"4 Av. Paul Déroulède, 75015 Paris";75015;0x47e671c83c88429b:0xdee953e03eafe780
Almeida SAS;Paris;"4,7";47;01 46 70 61 88;contact@almeida.fr;https://www.almeida.fr/;"20 Rue Paul Mazy, 94200 Ivry-sur-Seine";94200;0x47e6723571ac456d:0xcfc434a7cd47e8a5
RENOVATIONS KAMKOM | Entreprise de bâtiment à Paris 16 et Neuilly sur Seine;Paris;"4,5";30;01 75 90 90 20;contact@renovationskamkom.fr;http://www.renovationskamkom.fr/;"36 Rue Scheffer, 75116 Paris";75116;0x47e66f64480ee845:0x35d64ba63aff1a9d
M&A RENOV PÈRE & FILS | Rénovation Paris;Paris;"5,0";101;01 46 36 99 54;marenovperefils@gmail.com;https://www.marenov-perefils.fr/;"60 Rue de La Jonquière, 75017 Paris";75017;0x47e66d7ba6e3c2f1:0xaacbbc5a44f5b492
SP Construction - Artisan Rénovation Intérieure;Paris;"4,9";10;07 58 35 41 60;seraphinpalajeu2012@gmail.com;https://www.spconstructionrenovation.com/;"63 Rue Nationale, 75013 Paris";75013;0xa943f9725d406b9d:0x70f9d9669e52aec2
NAOMAG Entreprise générale du bâtiment;Paris;"4,9";39;01 42 38 22 49;naomag75@yahoo.fr;http://naomag.fr/;"73 Rue Rebeval, 75019 Paris";75019;0x47e66de8394d3615:0xaea574652b18af70
RBK Batiment;Paris;"4,5";15;07 68 91 64 02;contact@rbkbatiment.com;https://rbkbatiment.com/;"8 All. des Palombes, 77185 Lognes";77185;0x47e60faef418d4d5:0x235e2de1b676121f
