Nom;Ville;Note Google;Nombre d'avis;Téléphone;Email;Site Web;Adresse;Code Postal;Place ID
NAOUR Claude Chauffage Plomberie;Lille;"4,6";194;06 03 17 11 99;naourclaude@live.fr;https://www.naour-claude-chauffage.fr/;"1344 Rue d'Orchies, 59310 Landas";59310;0x47c2dca8eaa22753:0x25cdc23f04667194
Hecker & Frères;Lille;"5,0";215;06 13 46 67 90;Artisan.hecker@gmail.com;http://julienhecker.wixsite.com/monsite;"16 Rue Bartholomé Masurel, 59800 Lille";59800;0x47c32b4c9d0d0b81:0x56f951dc39a1fbd3
Artisan du Nord - Plombier à Lille;Lille;"4,2";421;03 20 40 03 00;contact@artisandunord.fr;https://www.plombier-lille.pro/;"8 Rue de la Justice, 59000 Lille";59000;0x47c2d59ec01bbacf:0xb6d0e2888b2f43f4
Sos plomberie 59;Lille;"5,0";14;07 86 96 07 33;sosplomberie59@gmx.fr;https://sosplomberie59.wixsite.com/website;"2 Rue Bernos, 59800 Lille";59800;0x6a7dee945e13e1f:0xd6707bbd56247140
Direct Artisans;Lille;"4,5";68;03 20 79 18 27;Lillecontact@direct-artisans.frT;https://direct-artisans.fr/;"48 Rue du Prieuré, 59000 Lille";59000;0x47c2d5f9f346aaa9:0x3cca75cc0babd779
Éclair Bleu;Lille;"5,0";306;03 66 86 60 00;contact@eclairbleu.fr;https://www.eclairbleu.fr/;"87 Rue Philippe de Comines, 59000 Lille";59000;0x47c2d53f75504a23:0xb4966bd53da397f6
SADEB;Lille;"4,5";64;03 20 29 94 29;contact@sadeb.fr;https://sadeb-ets.fr/;"5 Bis Rue de Cambrai 5 et, 59000 Lille";59000;0x47c2d5939e46aaab:0xd81b866397d862e7
LudEau Concept;Lille;"5,0";47;03 62 23 27 91;contact@ludeauconcept.fr;http://ludeauconcept.fr/contact/;"5 Rue Pasteur, 59260 Lille";59260;0x47c2d66d23e833ed:0x7b276a70932c3c2e
JBD énergies;Lille;"5,0";24;06 69 11 56 54;contact@jbd-energies.fr;https://www.jbd-energies.fr/;"12 Pl. Saint-Hubert, 59000 Lille";59000;0x47c2d12544ed6d6b:0xc1b149f928bdc67f
ServiTech Habitat;Lille;"4,9";93;07 83 35 03 51;contact@servitech-habitat.fr;http://www.servitech-habitat.fr/;"176 Av. Denis Cordonnier B21, 59000 Lille";59000;0x47c2d59f8a7f4fab:0x83215af0144e8b21
50 Degres Nord;Lille;"4,7";31;06 81 88 64 09;clement@50degresnord.com;http://www.facebook.com/plombier50degresnord;"229 Rue Solférino, 59000 Lille";59000;0x47c2d5d39d1ca151:0xc13dad203fa33d42
DIRA ENERGIE;Lille;"4,9";73;06 11 39 18 73;contact@diraenergie.fr;https://diraenergie.fr/;"16 Rue de la Fraternité, 59160 Lille";59160;0x47c2d50a5a01975f:0x79fa9261ff231ccf
A L’eau confort services;Lille;"4,9";16;06 99 59 59 50;contact@servicesconfort.fr;https://plombier.servicesconfort.fr/;"1 Rue Lazare Garreau, 59000 Lille";59000;0x47c2d559fadda87d:0xe1e18c23415ba60c
"Lille Chauffage, 180 rue Jean Jaures Villeneuve d'ascq";Lille;"4,9";165;06 01 30 14 36;contact@oegaz.fr;https://lille-chauffage.com/;"180 Rue Jean Jaurès, 59491 Villeneuve-d'Ascq";59491;0x47c2d732dba24d8f:0x3fcd75507b7ccf2
Aqua Zen Lt;Lille;"4,5";23;06 50 57 99 44;lait.touama@aqua-zen.eu;http://aqua-zen.eu/;"56 Rue de Madagascar, 59800 Lille";59800;0x47c2d7b16e81b705:0xb1e949cdacaab3ef
Nord Protech;Lille;"5,0";88;06 61 94 85 40;nordprotech@gmail.com;https://nord-protech.com/;"3 Rue Maxence Van Der Meersch, 59370 Mons-en-Barœul";59370;0x47c329326c995583:0x1a77e3cd7aea4a0a
Monsieur Plomberie - Artisan plombier chauffagiste sur la métropole lilloise;Lille;"4,9";35;06 83 19 49 76;contact@monsieur-plomberie.fr;https://www.monsieur-plomberie.fr/;;;0xdaa52c01d591b37:0x2a6f12113859aa02
Artisan Bruno Plombier Chauffagiste;Paris;"4,7";735;01 86 61 08 98;contact@lcm-plombier-chauffagiste.fr;https://bruno-plombier-chauffagiste.fr/;"13 Rue de la Grande Chaumière, 75006 Paris";75006;0x47e67108d40a8369:0xa285a7d461f6535b
